\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
§%§L=>95§%§COSYS\\3SET_REGENB|95|Regenbogen MSGs     |Rebgenbogen MSGs schalten.                 
§%§L=>80§%§GR_3\\3SET_SPERRE|80|User sperren        |User fuer die Box sperren             [user
§%§L=>90§%§COSYS\\3    SET_SV|90|Sektorverwalter     |Sektor-Verwalter des aktuellen Sektors aend
§%§L=>99§%§GR_3§%§VFLAG\\3SET_VEREIN|99|Vereinsflag umsetzen|Vereinsflag eines User's aendern      [user
§%§L=>95§%§COSYS\\3  SET_WERB|95|Werbung AN/AUS      |Werbebefreiung schalten                    
§%§L=>95§%§COSYS\\3 SET_XPORT|95|Xport Farbig        |XPort farbig schreiben                     
§%§L=>20\\3  SHOWWALL|20|Logoff-Wall ansehen |Logoff-Wall ansehen                        
§%§L=>90§%§COSYS\\3 SHOWWESTE|90|Weste anzeigen      |Weste gegen Rauswurf in den Portlisten zeig
§%§L=>02\\3        SI|02|Single-Chat         |User zum Single-Chat rufen                 
§%§L=>02\\3       SIG|02|Signum erstellen    |Signum erstellen oder ansehen         [user
§%§L=>98§%§SYSOP§%§GR_5§%§VFLAG\\3  SND_PROT|98|SND Protokoll       |SND Protokoll anzeigen.                    
§%§L=>90§%§COSYS\\3     SORTA|90|Sortiere Area's     |Area's neu sortieren                       
§%§L=>98§%§SYSOP\\3   SORTALL|98|Sort all            |Alles Sortieren                            
§%§L=>98§%§SYSOP\\3     SORTB|98|Befehle sortieren   |Befehle neu sortieren                      
§%§L=>50§%§AV\\3    SORTBE|50|Sortiere Betreff    |Brett nach Betreff sortieren fuer Binaerbre
§%§L=>70§%§AV\\3    SORTBR|70|Bretter sortieren   |Brettlisten neu sortieren                  
§%§L=>50§%§BV\\3    SORTDA|50|Sortiere nach Datum |Brett nach Datum sortieren                 
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3     SORTG|99|Games sortieren     |Spiele neu sortieren                       
§%§L=>98§%§SYSOP\\3     SORTT|98|Transfer sortieren  |Transferauswahl neu sortieren              
§%§L=>90§%§SYSOP§%§GR_5\\3     SORTU|90|Userliste sortieren |Userliste neu sortieren                    
§%§L=>20\\3        SP|20|Spiel auswaehlen    |Online-Spiele anzeigen und auswaehlen   [nu
§%§L=>90§%§COSYS\\3    SPENDE|90|Spendeneintrag      |Eintrag von Spenden in die Userdaten  [user
§%§VFLAG\\3      SPOR|00|Portliste (Voll)    |Automatische Portliste mit allen Daten     
§%§L=>80\\3       SPY|80|History von Port    |Nachsehen, welche Kommandos benutzt wurden 
§%§L=>10\\3        ST|10|Status User anzeigen|Anzeigen der Userdaten und Stati      [user
\\3  STARDATE|00|STARDATE / STERNZEIT|Zeitanzeigen inclusive Sternzeit (STARDATE)
\\3      STAT|00|Box-Statistik       |Azeige der Mailboxstatistik                
\\3 STERNZEIT|00|STARDATE / STERNZEIT|Zeitanzeigen inclusive Sternzeit (STARDATE)
\\3 STFORTUNE|00|Star-Trek Fortunes  |Sprueche aus Star-Trek zufaellig anzeigen  
§%§L=>20\\3    SUCHBE|20|Such Betreff        |Suche nach Betreff                         
§%§L=>20\\3  SUCHBE_A|20|Such Betreff (Area) |Suche nach Betreff (ganze Area)            
§%§L=>20\\3SUCHBE_BOX|20|Such Betreff (Box)  |Suche nach Betreff (ganze Box)             
§%§L=>20\\3    SUCHFI|20|Such Filename       |Filenamen im Brett suchen                  
§%§L=>20\\3  SUCHFI_A|20|Such Filename (Area)|Filenamen in der gesamten Area suchen      
§%§L=>20\\3SUCHFI_BOX|20|Such Filename (Box) |Filenamen in der gesamten Box suchen       
§%§L=>20\\3     SUCHU|20|Such User           |User im Brett suchen                       
§%§L=>20\\3   SUCHU_A|20|Such User (Area)    |Suche User in der gesamten Area            
§%§L=>20\\3 SUCHU_BOX|20|Such User (Box)     |Such User in der gesamten Box              
\\3       SYS|00|System-Info's       |Info's über die Box, Hardware und System   
\\3     SYSOP|00|Sysop rufen         |Sysop rufen und zum Sysop-Chat auffordern  
§%§L=>20\\3         T|20|Teilnehmerliste     |Userliste anzeigen / User suchen      [user
\\3     TASTE|00|Druecke Taste       |Batchbefehl, wartet auf Tastendruck        
§%§L=>20\\3     TCHAT|20|Turbo-Chat an/aus   |Turbo-Chat-Fenster einstellen    <zeilen (0
\\3    TERMIN|00|Terminplaner        |Terminplaner anzeigen (die naechsten 15 Tag
§%§L=>99§%§SYSOP\\3 TERMINSYS|99|Terminsystem        |Systemtermine mit Funktionen (Update: Jimmi
§%§L=>20\\3      TEST|20|Filetester          |Filetester starten                   [param
§%§L=>98§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3        TM|98|Turbo-MSG versenden |Turbo-MSG an anderen Port senden <portnr> <
§%§L=>98\\3       TMA|98|Turbo-MSG an alle   |Turbo-MSG an alle Ports senden            <
\\3      TPOR|00|Portliste (Total)   |Volle Portliste in Schleife anzeigen       
\\3        TR|00|Transferauswahl     |Uebertragungsprotokoll einstellen          
§%§L=>20\\3      TRAD|20|Trading-Game II     |Tradimg-Game II starten                    
